experiment_3(2000, 4, 41, 5000, 1000, 1234567890, [500, 666, 1000, 2000, 4000, 6000, 8000])...
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=69
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=76
N=2000, F=1/4, f=1/2, m=500, r=41, fails=41
N=2000, F=1/4, f=1/2, m=666, r=41, fails=43
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=51
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=55
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=59
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=60
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=74
N=2000, F=1/4, f=1/2, m=500, r=41, fails=43
N=2000, F=1/4, f=1/2, m=666, r=41, fails=41
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=57
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=66
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=80
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=81
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=85
N=2000, F=1/4, f=1/2, m=500, r=41, fails=45
N=2000, F=1/4, f=1/2, m=666, r=41, fails=45
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=51
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=61
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=67
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=54
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=78
N=2000, F=1/4, f=1/2, m=500, r=41, fails=49
N=2000, F=1/4, f=1/2, m=666, r=41, fails=47
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=55
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=55
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=60
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=76
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=53
N=2000, F=1/4, f=1/2, m=500, r=41, fails=47
N=2000, F=1/4, f=1/2, m=666, r=41, fails=48
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=49
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=63
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=58
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=76
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=69
N=2000, F=1/4, f=1/2, m=500, r=41, fails=42
N=2000, F=1/4, f=1/2, m=666, r=41, fails=41
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=52
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=58
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=66
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=73
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=73
N=2000, F=1/4, f=1/2, m=500, r=41, fails=39
N=2000, F=1/4, f=1/2, m=666, r=41, fails=45
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=46
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=73
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=68
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=65
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=75
N=2000, F=1/4, f=1/2, m=500, r=41, fails=33
N=2000, F=1/4, f=1/2, m=666, r=41, fails=43
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=48
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=60
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=61
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=66
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=97
N=2000, F=1/4, f=1/2, m=500, r=41, fails=44
N=2000, F=1/4, f=1/2, m=666, r=41, fails=51
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=58
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=59
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=54
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=63
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=84
N=2000, F=1/4, f=1/2, m=500, r=41, fails=45
N=2000, F=1/4, f=1/2, m=666, r=41, fails=40
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=61
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=67
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=59
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=66
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=83
N=2000, F=1/4, f=1/2, m=500, r=41, fails=40
N=2000, F=1/4, f=1/2, m=666, r=41, fails=38
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=55
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=54
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=72
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=76
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=59
N=2000, F=1/4, f=1/2, m=500, r=41, fails=41
N=2000, F=1/4, f=1/2, m=666, r=41, fails=70
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=66
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=52
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=67
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=51
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=77
N=2000, F=1/4, f=1/2, m=500, r=41, fails=38
N=2000, F=1/4, f=1/2, m=666, r=41, fails=38
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=44
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=52
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=67
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=56
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=75
N=2000, F=1/4, f=1/2, m=500, r=41, fails=46
N=2000, F=1/4, f=1/2, m=666, r=41, fails=48
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=61
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=66
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=67
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=76
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=74
N=2000, F=1/4, f=1/2, m=500, r=41, fails=51
N=2000, F=1/4, f=1/2, m=666, r=41, fails=46
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=53
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=62
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=60
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=72
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=76
N=2000, F=1/4, f=1/2, m=500, r=41, fails=40
N=2000, F=1/4, f=1/2, m=666, r=41, fails=50
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=55
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=57
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=63
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=78
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=71
N=2000, F=1/4, f=1/2, m=500, r=41, fails=47
N=2000, F=1/4, f=1/2, m=666, r=41, fails=38
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=76
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=68
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=79
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=74
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=68
N=2000, F=1/4, f=1/2, m=500, r=41, fails=37
N=2000, F=1/4, f=1/2, m=666, r=41, fails=52
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=55
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=57
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=66
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=72
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=70
N=2000, F=1/4, f=1/2, m=500, r=41, fails=46
N=2000, F=1/4, f=1/2, m=666, r=41, fails=35
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=54
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=72
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=85
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=73
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=83
N=2000, F=1/4, f=1/2, m=500, r=41, fails=24
N=2000, F=1/4, f=1/2, m=666, r=41, fails=46
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=56
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=62
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=70
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=76
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=56
N=2000, F=1/4, f=1/2, m=500, r=41, fails=36
N=2000, F=1/4, f=1/2, m=666, r=41, fails=57
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=46
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=55
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=67
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=83
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=58
N=2000, F=1/4, f=1/2, m=500, r=41, fails=35
N=2000, F=1/4, f=1/2, m=666, r=41, fails=45
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=51
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=69
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=63
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=53
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=64
N=2000, F=1/4, f=1/2, m=500, r=41, fails=36
N=2000, F=1/4, f=1/2, m=666, r=41, fails=50
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=53
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=65
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=69
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=87
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=70
N=2000, F=1/4, f=1/2, m=500, r=41, fails=41
N=2000, F=1/4, f=1/2, m=666, r=41, fails=38
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=51
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=59
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=57
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=65
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=72
N=2000, F=1/4, f=1/2, m=500, r=41, fails=45
N=2000, F=1/4, f=1/2, m=666, r=41, fails=49
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=62
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=52
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=63
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=74
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=76
N=2000, F=1/4, f=1/2, m=500, r=41, fails=44
N=2000, F=1/4, f=1/2, m=666, r=41, fails=36
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=48
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=59
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=68
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=77
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=60
N=2000, F=1/4, f=1/2, m=500, r=41, fails=39
N=2000, F=1/4, f=1/2, m=666, r=41, fails=41
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=51
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=67
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=61
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=67
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=66
N=2000, F=1/4, f=1/2, m=500, r=41, fails=35
N=2000, F=1/4, f=1/2, m=666, r=41, fails=57
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=47
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=54
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=49
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=82
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=71
N=2000, F=1/4, f=1/2, m=500, r=41, fails=46
N=2000, F=1/4, f=1/2, m=666, r=41, fails=41
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=46
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=59
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=75
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=89
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=88
N=2000, F=1/4, f=1/2, m=500, r=41, fails=48
N=2000, F=1/4, f=1/2, m=666, r=41, fails=50
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=46
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=70
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=75
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=68
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=63
N=2000, F=1/4, f=1/2, m=500, r=41, fails=48
N=2000, F=1/4, f=1/2, m=666, r=41, fails=46
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=58
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=65
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=64
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=62
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=66
N=2000, F=1/4, f=1/2, m=500, r=41, fails=40
N=2000, F=1/4, f=1/2, m=666, r=41, fails=52
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=61
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=71
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=73
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=69
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=61
N=2000, F=1/4, f=1/2, m=500, r=41, fails=38
N=2000, F=1/4, f=1/2, m=666, r=41, fails=47
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=50
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=48
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=72
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=69
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=63
N=2000, F=1/4, f=1/2, m=500, r=41, fails=43
N=2000, F=1/4, f=1/2, m=666, r=41, fails=37
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=58
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=61
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=60
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=89
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=73
N=2000, F=1/4, f=1/2, m=500, r=41, fails=51
N=2000, F=1/4, f=1/2, m=666, r=41, fails=52
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=70
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=49
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=60
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=70
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=57
N=2000, F=1/4, f=1/2, m=500, r=41, fails=41
N=2000, F=1/4, f=1/2, m=666, r=41, fails=50
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=56
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=71
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=76
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=58
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=73
N=2000, F=1/4, f=1/2, m=500, r=41, fails=45
N=2000, F=1/4, f=1/2, m=666, r=41, fails=44
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=54
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=66
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=52
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=77
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=63
N=2000, F=1/4, f=1/2, m=500, r=41, fails=46
N=2000, F=1/4, f=1/2, m=666, r=41, fails=37
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=69
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=68
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=63
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=59
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=76
N=2000, F=1/4, f=1/2, m=500, r=41, fails=50
N=2000, F=1/4, f=1/2, m=666, r=41, fails=55
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=42
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=59
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=66
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=87
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=68
N=2000, F=1/4, f=1/2, m=500, r=41, fails=52
N=2000, F=1/4, f=1/2, m=666, r=41, fails=42
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=58
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=63
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=54
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=85
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=67
N=2000, F=1/4, f=1/2, m=500, r=41, fails=40
N=2000, F=1/4, f=1/2, m=666, r=41, fails=46
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=59
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=64
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=74
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=61
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=74
N=2000, F=1/4, f=1/2, m=500, r=41, fails=46
N=2000, F=1/4, f=1/2, m=666, r=41, fails=52
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=60
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=74
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=72
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=66
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=60
N=2000, F=1/4, f=1/2, m=500, r=41, fails=48
N=2000, F=1/4, f=1/2, m=666, r=41, fails=42
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=59
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=73
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=58
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=62
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=66
N=2000, F=1/4, f=1/2, m=500, r=41, fails=47
N=2000, F=1/4, f=1/2, m=666, r=41, fails=52
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=48
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=60
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=69
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=67
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=59
N=2000, F=1/4, f=1/2, m=500, r=41, fails=55
N=2000, F=1/4, f=1/2, m=666, r=41, fails=41
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=44
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=62
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=73
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=65
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=71
N=2000, F=1/4, f=1/2, m=500, r=41, fails=45
N=2000, F=1/4, f=1/2, m=666, r=41, fails=36
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=44
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=57
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=73
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=67
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=65
N=2000, F=1/4, f=1/2, m=500, r=41, fails=41
N=2000, F=1/4, f=1/2, m=666, r=41, fails=52
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=59
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=59
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=59
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=74
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=68
N=2000, F=1/4, f=1/2, m=500, r=41, fails=44
N=2000, F=1/4, f=1/2, m=666, r=41, fails=41
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=40
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=62
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=67
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=60
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=77
N=2000, F=1/4, f=1/2, m=500, r=41, fails=42
N=2000, F=1/4, f=1/2, m=666, r=41, fails=57
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=59
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=61
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=73
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=63
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=72
N=2000, F=1/4, f=1/2, m=500, r=41, fails=27
N=2000, F=1/4, f=1/2, m=666, r=41, fails=42
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=52
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=61
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=69
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=67
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=66
N=2000, F=1/4, f=1/2, m=500, r=41, fails=46
N=2000, F=1/4, f=1/2, m=666, r=41, fails=50
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=46
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=60
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=70
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=76
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=80
N=2000, F=1/4, f=1/2, m=500, r=41, fails=45
N=2000, F=1/4, f=1/2, m=666, r=41, fails=40
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=47
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=65
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=56
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=94
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=86
N=2000, F=1/4, f=1/2, m=500, r=41, fails=43
N=2000, F=1/4, f=1/2, m=666, r=41, fails=48
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=57
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=52
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=61
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=51
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=89
N=2000, F=1/4, f=1/2, m=500, r=41, fails=33
N=2000, F=1/4, f=1/2, m=666, r=41, fails=61
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=57
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=63
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=73
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=70
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=60
N=2000, F=1/4, f=1/2, m=500, r=41, fails=33
N=2000, F=1/4, f=1/2, m=666, r=41, fails=49
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=55
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=64
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=68
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=69
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=63
N=2000, F=1/4, f=1/2, m=500, r=41, fails=39
N=2000, F=1/4, f=1/2, m=666, r=41, fails=49
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=49
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=61
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=55
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=62
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=79
N=2000, F=1/4, f=1/2, m=500, r=41, fails=39
N=2000, F=1/4, f=1/2, m=666, r=41, fails=58
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=37
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=59
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=66
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=72
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=72
N=2000, F=1/4, f=1/2, m=500, r=41, fails=39
N=2000, F=1/4, f=1/2, m=666, r=41, fails=58
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=48
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=67
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=67
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=60
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=60
N=2000, F=1/4, f=1/2, m=500, r=41, fails=52
N=2000, F=1/4, f=1/2, m=666, r=41, fails=42
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=45
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=77
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=64
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=68
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=58
N=2000, F=1/4, f=1/2, m=500, r=41, fails=37
N=2000, F=1/4, f=1/2, m=666, r=41, fails=45
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=51
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=65
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=68
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=68
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=61
N=2000, F=1/4, f=1/2, m=500, r=41, fails=29
N=2000, F=1/4, f=1/2, m=666, r=41, fails=46
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=45
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=52
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=45
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=72
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=68
N=2000, F=1/4, f=1/2, m=500, r=41, fails=43
N=2000, F=1/4, f=1/2, m=666, r=41, fails=37
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=49
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=64
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=62
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=75
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=78
N=2000, F=1/4, f=1/2, m=500, r=41, fails=42
N=2000, F=1/4, f=1/2, m=666, r=41, fails=49
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=57
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=66
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=70
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=63
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=61
N=2000, F=1/4, f=1/2, m=500, r=41, fails=43
N=2000, F=1/4, f=1/2, m=666, r=41, fails=43
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=59
N=2000, F=1/4, f=1/2, m=2000, r=41, fails=61
N=2000, F=1/4, f=1/2, m=4000, r=41, fails=69
N=2000, F=1/4, f=1/2, m=6000, r=41, fails=77
N=2000, F=1/4, f=1/2, m=8000, r=41, fails=88
N=2000, F=1/4, f=1/2, m=500, r=41, fails=56
N=2000, F=1/4, f=1/2, m=666, r=41, fails=40
N=2000, F=1/4, f=1/2, m=1000, r=41, fails=48
